id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades
177,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Felipe Motta,Computrabajo,2026-04-16,2400.0,3000.0,2,DevOps & Cloud,Buscamos un Cloud Infrastructure Specialist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Felipe Motta en Panamá.,"Python,Git,Kubernetes,AWS,Azure"
178,Python Developer,Python Developer,Banistmo,Computrabajo,2026-05-05,1800.0,3300.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Python,SQL,Git,C#,Java"
179,Analista de Datos,Analista de Datos,Supermercados Riba Smith,LinkedIn,2026-04-22,2200.0,3000.0,2,Data & Analytics,"En Supermercados Riba Smith estamos expandiendo nuestro equipo técnico. Requerimos Analista de Datos con sólidos conocimientos en SQL, Python, Tableau, R para liderar la transformación digital de la empresa.","Python,R,SQL,Tableau"
180,IT Project Manager,IT Project Manager,APEDE,Konzerta,2026-05-29,2300.0,3400.0,2,Gestión & Agile,"En APEDE estamos expandiendo nuestro equipo técnico. Requerimos IT Project Manager con sólidos conocimientos en Excel, Agile, Jira, Scrum para liderar la transformación digital de la empresa.","Excel,Jira,Scrum,Agile"
181,Java Engineer,Java Engineer,Banco General,Computrabajo,2026-05-12,1400.0,3200.0,1,Backend,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en .NET, Git, Python para liderar la transformación digital de la empresa.","Python,.NET,Git"
182,Administrador Cloud,Administrador Cloud,Panafoto,Konzerta,2026-06-05,2000.0,3100.0,3,DevOps & Cloud,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Administrador Cloud con sólidos conocimientos en Python, Docker, AWS, Kubernetes, Terraform, Azure para liderar la transformación digital de la empresa.","Python,Docker,Terraform,Kubernetes,AWS,Azure"
183,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banco General,Computrabajo,2026-02-14,2100.0,3100.0,3,Fullstack,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Python para liderar la transformación digital de la empresa.","Python,JavaScript"
184,Soporte Técnico IT,Soporte Técnico IT,KPMG Panamá,Computrabajo,2026-03-24,1100.0,1600.0,1,Soporte & IT,"En KPMG Panamá estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Redes, Excel, Windows Server para liderar la transformación digital de la empresa.","Excel,Windows Server,Redes"
185,DevOps Engineer,DevOps Engineer,EY Panamá,Computrabajo,2026-04-07,2700.0,4500.0,6,DevOps & Cloud,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos DevOps Engineer con sólidos conocimientos en Kubernetes, Python, AWS para liderar la transformación digital de la empresa.","Python,Kubernetes,AWS"
186,Data Scientist,Data Scientist,Sonda Panamá,LinkedIn,2026-01-08,2100.0,3600.0,3,Data & Analytics,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Data Scientist con sólidos conocimientos en Power BI, Python, Spark, Tableau, Excel para liderar la transformación digital de la empresa.","Excel,Python,Spark,Tableau,Power BI"
187,Java Engineer,Java Engineer,EY Panamá,Konzerta,2026-05-25,1600.0,2000.0,2,Backend,Buscamos un Java Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"Spring Boot,C#"
188,Product Owner,Product Owner,Copa Airlines,Computrabajo,2026-02-13,2000.0,3800.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Copa Airlines) busca incorporar un Product Owner con al menos 3 años de experiencia comprobada.,"Scrum,Agile"
189,iOS App Developer,iOS App Developer,Multibank,Konzerta,2026-02-26,1800.0,2900.0,3,Mobile,Buscamos un iOS App Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Multibank en Panamá.,"Flutter,React Native"
190,Soporte Técnico IT,Soporte Técnico IT,APEDE,LinkedIn,2026-01-28,1100.0,1600.0,3,Soporte & IT,Buscamos un Soporte Técnico IT dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Excel,Cisco,Virtualización,Linux,Redes"
191,Backend Developer,Backend Developer,Banistmo,Konzerta,2025-12-26,1600.0,2800.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Backend Developer con al menos 1 años de experiencia comprobada.,"Spring Boot,SQL,Node.js"
192,Python Developer,Python Developer,Panafoto,Konzerta,2026-01-03,1500.0,3400.0,1,Backend,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Python Developer con sólidos conocimientos en Python, Node.js, Docker para liderar la transformación digital de la empresa.","Python,Docker,Node.js"
193,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Multibank,Computrabajo,2026-05-27,2500.0,3300.0,3,Fullstack,Buscamos un Desarrollador Web Fullstack dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Multibank en Panamá.,"Docker,SQL,Node.js,React,AWS"
194,Analista de Datos,Analista de Datos,EY Panamá,LinkedIn,2026-03-31,2000.0,2800.0,3,Data & Analytics,Buscamos un Analista de Datos dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para EY Panamá en Panamá.,"PostgreSQL,R"
195,iOS App Developer,iOS App Developer,Cable & Wireless,Konzerta,2026-05-15,1900.0,2800.0,3,Mobile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Cable & Wireless) busca incorporar un iOS App Developer con al menos 3 años de experiencia comprobada.,"React Native,Swift"
196,Frontend Developer,Frontend Developer,Sonda Panamá,Konzerta,2026-04-24,1400.0,1800.0,2,Frontend,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Frontend Developer con sólidos conocimientos en Angular, React para liderar la transformación digital de la empresa.","React,Angular"
197,Frontend Developer,Frontend Developer,GBM Panamá,Computrabajo,2026-03-19,1600.0,2800.0,2,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Frontend Developer con al menos 2 años de experiencia comprobada.,"JavaScript,React,Vue,CSS,HTML"
198,Data Scientist,Data Scientist,Grupo El Machetazo,Computrabajo,2026-04-24,2400.0,3500.0,3,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un Data Scientist con al menos 3 años de experiencia comprobada.,"Excel,Python,SQL"
199,Java Engineer,Java Engineer,Global Bank,Computrabajo,2026-03-29,2100.0,2500.0,3,Backend,Buscamos un Java Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Global Bank en Panamá.,"Spring Boot,SQL,.NET,Node.js,C#"
200,UI Developer,UI Developer,Dell Technologies Panamá,LinkedIn,2026-04-05,1200.0,2700.0,1,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Dell Technologies Panamá) busca incorporar un UI Developer con al menos 1 años de experiencia comprobada.,"JavaScript,Git,React,TypeScript"
